Tempo,Weight on Wheels,Altitude Pressão,Pitot raw,Pitot velocidade calibrada,Pitot velocidade calibrada filtrado,Velocidade Calibrada GPS,Rotação da hélice,Deflexão profundor,Deflexão aileron,Deflexão leme,Taxa de rolamento,Taxa de arfagem,Taxa de guinada,Fator de carga X,Fator de carga Y,Fator de carga Z,Posição X,Posição Y,Posição Z filtrado,Posição Z,Atitude,Inclinação lateral,Tempo de voo
s,-,m,volt analog,m/s,m/s,m/s,rpm,°,°,°,°/s,°/s,°/s,g,g,g,m,m,m,m,°,°,s
   0.00,1, 26.7610, 40.0000, -2.2489, -0.1124,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0077,  0.0176,  0.0447, -0.0049,  0.0057,  1.0016,   0.0000,   0.0000, -0.0671, -0.6711,-29.8380, 27.2354,   0.00
   0.08,1, 26.7610, 40.2000, -1.2984, -0.1774,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0071,  0.0382,  0.0286,  0.0111, -0.0074,  1.0011,   0.0000,   0.0000, -0.1342, -0.6711,-31.6974, 40.4063,   0.00
   0.16,1, 27.8469, 40.2000, -1.2984, -0.2423,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0073,  0.0155,  0.0259,  0.0113, -0.0001,  1.0019,   0.0000,   0.0000, -0.0922,  0.4201,-23.5213, 34.3285,   0.00
   0.24,1, 27.8469, 39.6000, -3.4353, -0.4140,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0100,  0.0204,  0.0062,  0.0057,  0.0100,  0.9956,   0.0000,   0.0000, -0.0502,  0.4201,-13.6726, 19.9895,   0.00
   0.31,1, 27.5140, 40.0000, -2.2489, -0.5265,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0077,  0.0216,  0.0198,  0.0024,  0.0073,  1.0004,   0.0000,   0.0000, -0.0417,  0.0846, -7.3143,  7.4084,   0.00
   0.39,1, 28.9329, 40.4000,  1.2984, -0.4616,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0098,  0.0275,  0.0215,  0.0038,  0.0071,  0.9960,   0.0000,   0.0000,  0.1089,  1.5061, -6.4133,  2.5427,   0.00
   0.47,1, 27.8469, 39.8000, -2.9033, -0.6067,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0083,  0.0344,  0.0316,  0.0061,  0.0137,  0.9974,   0.0000,   0.0000,  0.1509,  0.4201, -9.0711,  6.8671,   0.00
   0.55,1, 27.5140, 38.4000, -5.6596, -0.8897,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0081,  0.0158,  0.0248,  0.0094,  0.0084,  1.0060,   0.0000,   0.0000,  0.1593,  0.0846,-11.3355, 15.3083,   0.00
   0.63,1, 27.5140, 40.0000, -2.2489, -1.0022,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0059,  0.0391,  0.0080, -0.0238,  0.0002,  0.9919,   0.0000,   0.0000,  0.1678,  0.0846,-11.2768, 19.4268,   0.00
   0.71,1, 27.5140, 40.2000, -1.2984, -1.0671,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0151,  0.0595,  0.0247, -0.0172, -0.0018,  0.9881,   0.0000,   0.0000,  0.1762,  0.0846,-11.3827, 15.8584,   0.00
   0.78,1, 27.5140, 40.0000, -2.2489, -1.1795,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0075,  0.0286,  0.0174,  0.0039,  0.0120,  1.0006,   0.0000,   0.0000,  0.2518,  0.0846,-10.8879,  7.8936,   0.00
   0.86,1, 27.5140, 39.0000, -4.6815, -1.4136,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0108,  0.0250,  0.0316,  0.0206,  0.0224,  1.0052,   0.0000,   0.0000,  0.3274,  0.0846, -8.3772,  2.2057,   0.00
   0.94,1, 28.5973, 39.8000, -2.9033, -1.5588,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0082,  0.0386,  0.0139,  0.0262,  0.0194,  1.0042,   0.0000,   0.0000,  0.4024,  1.1705, -4.2991,  2.4268,   0.00
   1.02,1, 27.5140, 38.8000, -5.0287, -1.8102,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0089,  0.0236,  0.0159,  0.0154,  0.0216,  1.0000,   0.0000,   0.0000,  0.3689,  0.0846, -0.8734,  6.8479,   0.00
   1.10,1, 27.5140, 39.8000, -2.9033, -1.9554,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0071,  0.0123,  0.0234,  0.0102,  0.0133,  1.0016,   0.0000,   0.0000,  0.3689,  0.0846, -0.6876, 11.3836,   0.00
   1.18,1, 27.5140, 39.8000, -2.9033, -2.1005,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0086,  0.0172,  0.0230,  0.0059,  0.0007,  1.0021,   0.0000,   0.0000,  0.2267,  0.0846, -3.6855, 12.0171,   0.00
   1.26,1, 28.2644, 39.8000, -2.9033, -2.2457,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0088,  0.0108,  0.0170, -0.0039,  0.0047,  0.9974,   0.0000,   0.0000,  0.2685,  0.8376, -7.3700,  7.8835,   0.00
   1.34,1, 27.1784, 38.6000, -5.3535, -2.5134,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0087,  0.0201,  0.0327,  0.0087,  0.0065,  1.0002,   0.0000,   0.0000,  0.2346, -0.2537, -8.9730,  2.5743,   0.00
   1.41,1, 27.5140, 39.6000, -3.4353, -2.6851,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0112,  0.0180,  0.0200,  0.0103,  0.0033,  0.9988,   0.0000,   0.0000,  0.2346,  0.0846, -6.4252, -0.1784,   0.00
   1.49,1, 28.2644, 38.8000, -5.0287, -2.9366,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0099,  0.0218,  0.0199,  0.0081,  0.0030,  0.9991,   0.0000,   0.0000,  0.3099,  0.8376, -1.7984,  0.8129,   0.00
